Scene_Type,Success_Case,Predictions,Most_Common_Prediction,Consistency_Ratio,Original_Correct_Index
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0022_img.png,"[4, 1, 1, 2]",1,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0028_img.png,"[4, 1, 3, 3]",3,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0025_img.png,"[4, 3, 3, 1]",3,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0005_img.png,"[4, 1, 3, 2]",1,25.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0000_img.png,"[2, 2, 4, 2]",2,75.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0021_img.png,"[3, 4, 1, 3]",3,50.00%,4
Dominoes,True_pilot_dominoes_4mid_boxroom_2-redyellow_0003_img.png,"[2, 3, 3, 4]",3,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0002_img.png,"[1, 4, 3, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0020_img.png,"[4, 2, 3, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0021_img.png,"[3, 4, 2, 3]",3,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0008_img.png,"[1, 1, 4, 1]",1,75.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0027_img.png,"[3, 4, 2, 1]",1,25.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0006_img.png,"[4, 3, 2, 1]",1,25.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0003_img.png,"[3, 3, 4, 2]",3,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0008_img.png,"[2, 4, 1, 3]",1,25.00%,4
Dominoes,True_pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom-redyellow_0016_img.png,"[1, 4, 2, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom-redyellow_0012_img.png,"[3, 3, 4, 1]",3,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom-redyellow_0021_img.png,"[1, 2, 4, 3]",1,25.00%,4
Dominoes,True_pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom-redyellow_0023_img.png,"[1, 4, 1, 1]",1,75.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom-redyellow_0019_img.png,"[2, 4, 1, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom-redyellow_0002_img.png,"[4, 3, 3, 3]",3,75.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom-redyellow_0028_img.png,"[1, 4, 2, 3]",1,25.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0004_img.png,"[4, 3, 1, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0004_img.png,"[1, 3, 4, 3]",3,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J025R30_tdwroom-redyellow_0015_img.png,"[4, 3, 2, 1]",1,25.00%,4
Dominoes,True_pilot_dominoes_2mid_J025R30_tdwroom-redyellow_0028_img.png,"[1, 1, 1, 1]",1,100.00%,4
Dominoes,True_pilot_dominoes_4mid_boxroom_2-redyellow_0002_img.png,"[4, 1, 2, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0011_img.png,"[4, 2, 3, 1]",1,25.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0014_img.png,"[4, 1, 2, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom-redyellow_0018_img.png,"[3, 3, 1, 4]",3,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0003_img.png,"[3, 4, 2, 1]",1,25.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0015_img.png,"[3, 3, 4, 3]",3,75.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0026_img.png,"[1, 4, 3, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0023_img.png,"[2, 2, 4, 1]",2,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0005_img.png,"[1, 4, 1, 1]",1,75.00%,4
Dominoes,True_pilot_dominoes_4mid_boxroom_2-redyellow_0000_img.png,"[1, 1, 3, 4]",1,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0020_img.png,"[2, 3, 4, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom-redyellow_0029_img.png,"[1, 4, 2, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0018_img.png,"[1, 2, 4, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_4mid_boxroom_2-redyellow_0004_img.png,"[3, 2, 4, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0006_img.png,"[1, 2, 1, 4]",1,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom-redyellow_0008_img.png,"[4, 2, 2, 2]",2,75.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0029_img.png,"[1, 2, 3, 4]",1,25.00%,4
Dominoes,True_pilot_dominoes_2mid_J025R30_tdwroom-redyellow_0029_img.png,"[2, 3, 2, 4]",2,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_boxroom-redyellow_0019_img.png,"[1, 4, 2, 3]",1,25.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom-redyellow_0001_img.png,"[2, 4, 3, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_4mid_tdwroom-redyellow_0001_img.png,"[1, 2, 4, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0001_img.png,"[2, 1, 4, 3]",1,25.00%,4
Dominoes,True_pilot_dominoes_4mid_tdwroom-redyellow_0002_img.png,"[2, 1, 4, 3]",1,25.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0025_img.png,"[4, 2, 1, 1]",1,50.00%,4
Dominoes,True_pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0010_img.png,"[2, 1, 4, 2]",2,50.00%,4
Dominoes,True_pilot_dominoes_4mid_tdwroom-redyellow_0005_img.png,"[1, 4, 3, 2]",1,25.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom-redyellow_0023_img.png,"[2, 1, 3, 4]",1,25.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2-redyellow_0010_img.png,"[3, 3, 2, 4]",3,50.00%,4
Dominoes,True_pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom-redyellow_0012_img.png,"[1, 1, 4, 2]",1,50.00%,4
Dominoes,True_pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom-redyellow_0006_img.png,"[2, 3, 4, 1]",1,25.00%,4
