Scene_Type,Success_Case,Predictions,Most_Common_Prediction,Consistency_Ratio,Original_Correct_Index
Contain,True_pilot-containment-vase-redyellow_0016_img.png,"[1, 4, 4, 1]",1,50.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0018_img.png,"[4, 2, 1, 3]",1,25.00%,4
Contain,True_pilot-containment-bowl-redyellow_0002_img.png,"[1, 2, 1, 4]",1,50.00%,4
Contain,True_pilot-containment-vase-redyellow_0001_img.png,"[2, 4, 1, 4]",4,50.00%,4
Contain,True_pilot-containment-vase-redyellow_0014_img.png,"[3, 1, 2, 2]",2,50.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0004_img.png,"[2, 2, 2, 1]",2,75.00%,4
Contain,True_pilot-containment-torus-redyellow_0015_img.png,"[1, 1, 4, 3]",1,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0008_img.png,"[4, 1, 1, 3]",1,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0011_img.png,"[3, 3, 3, 1]",3,75.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0016_img.png,"[2, 4, 1, 3]",1,25.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0004_img.png,"[3, 4, 4, 3]",3,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0021_img.png,"[3, 4, 2, 1]",1,25.00%,4
Contain,True_pilot-containment-torus-redyellow_0008_img.png,"[4, 3, 4, 4]",4,75.00%,4
Contain,True_pilot-containment-box-redyellow_0021_img.png,"[4, 4, 4, 2]",4,75.00%,4
Contain,True_pilot-containment-bowl-redyellow_0029_img.png,"[3, 1, 4, 2]",1,25.00%,4
Contain,True_pilot-containment-vase-redyellow_0021_img.png,"[2, 4, 2, 2]",2,75.00%,4
Contain,True_pilot-containment-bowl-redyellow_0014_img.png,"[1, 2, 4, 4]",4,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0024_img.png,"[4, 4, 2, 1]",4,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0028_img.png,"[2, 1, 1, 3]",1,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0019_img.png,"[4, 2, 1, 2]",2,50.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0010_img.png,"[1, 3, 4, 4]",4,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0034_img.png,"[1, 1, 2, 4]",1,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0000_img.png,"[3, 4, 3, 1]",3,50.00%,4
Contain,True_pilot-containment-box-redyellow_0008_img.png,"[2, 1, 4, 3]",1,25.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0009_img.png,"[1, 1, 3, 3]",1,50.00%,4
Contain,True_pilot-containment-vase-redyellow_0018_img.png,"[1, 1, 2, 2]",1,50.00%,4
Contain,True_pilot-containment-box-redyellow_0023_img.png,"[1, 4, 3, 1]",1,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0003_img.png,"[1, 3, 3, 4]",3,50.00%,4
Contain,True_pilot-containment-cylinder-bowl-redyellow_0008_img.png,"[4, 2, 4, 1]",4,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0021_img.png,"[3, 1, 4, 3]",3,50.00%,4
Contain,True_pilot-containment-torus-redyellow_0002_img.png,"[3, 1, 4, 1]",1,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0021_img.png,"[2, 4, 2, 4]",2,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0016_img.png,"[2, 4, 3, 1]",1,25.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0003_img.png,"[1, 1, 2, 4]",1,50.00%,4
Contain,True_pilot-containment-box-redyellow_0016_img.png,"[3, 3, 1]",3,66.67%,4
Contain,True_pilot-containment-cone-plate-redyellow_0016_img.png,"[1, 2, 1, 2]",1,50.00%,4
Contain,True_pilot-containment-box-redyellow_0015_img.png,"[3, 1, 2, 4]",1,25.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0005_img.png,"[2, 2, 4, 1]",2,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0010_img.png,"[3, 3, 2, 1]",3,50.00%,4
Contain,True_pilot-containment-bowl-redyellow_0013_img.png,"[2, 1, 1, 4]",1,50.00%,4
Contain,True_pilot-containment-multi-bowl-redyellow_0023_img.png,"[4, 2, 4, 3]",4,50.00%,4
Contain,True_pilot-containment-cone-plate-redyellow_0008_img.png,"[4, 4, 2, 4]",4,75.00%,4
