Scene_Type,Success_Case,Predictions,Most_Common_Prediction,Consistency_Ratio,Original_Correct_Index
Support,True_pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom-redyellow_0012_img.png,"[2, 2, 2, 4]",2,75.00%,4
Support,True_pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom-redyellow_0004_img.png,"[3, 1, 4, 1]",1,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom-redyellow_0011_img.png,"[1, 2, 2]",2,66.67%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom-redyellow_0005_img.png,"[4, 4, 1, 3]",4,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0011_img.png,"[1, 2, 3, 4]",1,25.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom-redyellow_0000_img.png,"[1, 3, 4, 3]",3,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom-redyellow_0009_img.png,"[3, 2, 1, 4]",1,25.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom-redyellow_0009_img.png,"[4, 1, 2, 2]",2,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom-redyellow_0011_img.png,"[2, 3, 3, 3]",3,75.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0000_img.png,"[2, 3, 4, 3]",3,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom-redyellow_0007_img.png,"[1, 1, 4, 4]",1,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom-redyellow_0003_img.png,"[3, 1, 3, 3]",3,75.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom-redyellow_0013_img.png,"[2, 4, 4, 2]",2,50.00%,4
Support,True_pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0018_img.png,"[2, 2, 1, 1]",1,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom-redyellow_0015_img.png,"[4, 4, 3, 2]",4,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom-redyellow_0004_img.png,"[2, 3, 2, 2]",2,75.00%,4
Support,True_pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0008_img.png,"[2, 3, 4]",2,33.33%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0013_img.png,"[3, 1, 4]",1,33.33%,4
Support,True_pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom-redyellow_0008_img.png,"[1, 3, 4, 4]",4,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom-redyellow_0017_img.png,"[1, 1, 2, 4]",1,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0003_img.png,"[4, 3, 2, 4]",4,50.00%,4
Support,True_pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0010_img.png,"[1, 3, 4]",1,33.33%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom-redyellow_0014_img.png,"[4, 4, 3, 1]",4,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0007_img.png,"[4, 3, 1, 2]",1,25.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0019_img.png,"[1, 3, 2, 4]",1,25.00%,4
Support,True_pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom-redyellow_0010_img.png,"[4, 2, 2, 3]",2,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0016_img.png,"[1, 1, 4, 1]",1,75.00%,4
Support,True_pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom-redyellow_0016_img.png,"[2, 4, 2, 4]",2,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0018_img.png,"[4, 2, 1, 1]",1,50.00%,4
Support,True_pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0012_img.png,"[2, 3, 1, 4]",1,25.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0014_img.png,"[1, 3, 3, 4]",3,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom-redyellow_0019_img.png,"[1, 2, 4, 3]",1,25.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0002_img.png,"[1, 1, 2, 4]",1,50.00%,4
Support,True_pilot_towers_nb5_fr015_SJ030_mono0_dis0_occ0_boxroom-redyellow_0007_img.png,"[3, 3, 3, 4]",3,75.00%,4
Support,True_pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0016_img.png,"[1, 4, 4, 2]",4,50.00%,4
Support,True_pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0014_img.png,"[4, 4, 2, 3]",4,50.00%,4
Support,True_pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom-redyellow_0009_img.png,"[4, 4, 1, 3]",4,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom-redyellow_0010_img.png,"[4, 3, 2, 3]",3,50.00%,4
Support,True_pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom-redyellow_0009_img.png,"[1, 1, 4, 2]",1,50.00%,4
Support,True_pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom-redyellow_0011_img.png,"[3, 1, 3, 4]",3,50.00%,4
Support,True_pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom-redyellow_0009_img.png,"[2, 3, 4, 1]",1,25.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr01_mono1_dis0_occ0_boxroom-redyellow_0013_img.png,"[1, 1, 3, 1]",1,75.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom-redyellow_0005_img.png,"[3, 2, 2, 2]",2,75.00%,4
Support,True_pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom-redyellow_0017_img.png,"[3, 1, 1, 4]",1,50.00%,4
Support,True_pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom-redyellow_0001_img.png,"[3, 1, 2, 3]",3,50.00%,4
Support,True_pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom-redyellow_0018_img.png,"[4, 2, 2, 1]",2,50.00%,4
Support,True_pilot_towers_nb4_fr015_SJ000_gr01_mono0_dis1_occ1_tdwroom-redyellow_0009_img.png,"[1, 1, 4, 1]",1,75.00%,4
